城市,天气,最低气温,最高气温,日期
约翰内斯堡,晴,4,,2017/6/3
布里斯班,小雨,14,,2017/6/3
阿斯马拉,晴,21,,2017/6/3
阿萨布,晴,31,,2017/6/3
卡拉苏,阴,20,,2017/6/3
瓦都兹,几场阵雨和雷雨,,14,2017/6/3
利格,逐渐晴朗,,15,2017/6/3
奥扎齐,晴转晴间多云,,15,2017/6/3
莫尔,晴转晴间多云,,18,2017/6/3
森塔,晴转晴间多云,,18,2017/6/3
马利奇,一场阵雨或雷雨,,11,2017/6/3
阿沙格,晴,,17,2017/6/3
拉伊科瓦茨,逐渐晴朗,,16,2017/6/3
索科矿泉村,多云转阴到多云间晴,,14,2017/6/3
科科斯岛,小雨,26,,2017/6/3
雅库茨克,晴,4,,2017/6/3
亚的斯亚贝巴,小雨,12,,2017/6/3
林肯港,多云,10,,2017/6/3
纳奴米,小雨,29,,2017/6/3
纳伦,阴,10,,2017/6/3
塔拉斯,阴,16,,2017/6/3
巴尼亚科维利亚查,晴转晴间多云,,14,2017/6/3
科斯托拉茨,逐渐晴朗,,17,2017/6/3
贝拉茨尔克瓦,逐渐晴朗,,15,2017/6/3
斯维拉伊纳茨,逐渐晴朗,,15,2017/6/3
普罗库普列,逐渐晴朗,,13,2017/6/3
卡尼扎,晴转晴间多云,,16,2017/6/3
波扎雷瓦茨,逐渐晴朗,,17,2017/6/3
马伊丹佩克,多云转阴,,14,2017/6/3
普里波耶,多云转阴到多云间晴,,11,2017/6/3
赫尔辛基,多云,3,,2017/6/3
珀斯,小雨,13,,2017/6/3
墨尔本,多云,2,,2017/6/3
马尼拉,阴,26,,2017/6/3
札幌,阴,8,,2017/6/3
阿德马,阴,0,,2017/6/3
纽基拉塔,小雨,29,,2017/6/3
塔拉瓦,多云,30,,2017/6/3
阿罗拉亚岛,阴,30,,2017/6/3
朗塞斯顿,多云,5,,2017/6/3
霍巴特,多云,8,,2017/6/3
奇姆肯特,阴,19,,2017/6/3
凯恩斯,阴,21,,2017/6/3
彼得罗巴浦洛夫斯克,多云,5,,2017/6/3
阿绍,阴,29,,2017/6/3
坎顿岛,多云,30,,2017/6/3
夏洛特顿,阴,7,,2017/6/3
悉尼,小雨,14,,2017/6/3
布雷利,逐渐晴朗,,16,2017/6/3
阿德莱德,多云,10,,2017/6/3
马累,阴,28,,2017/6/3
花莲,大雨,25,,2017/6/3
安德里耶维察,逐渐晴朗,,10,2017/6/3
大邱,晴,12,,2017/6/3
新帕佐瓦,逐渐晴朗,,16,2017/6/3
蔚山,晴,13,,2017/6/3
帕拉钦,逐渐晴朗,,15,2017/6/3
贝鲁,阴,29,,2017/6/3
佳特土,阴,27,,2017/6/3
罗德里格斯岛,多云,22,,2017/6/3
圣布兰登,多云,22,,2017/6/3
阿卡尔特西卡,多云,7,,2017/6/3
巴统,多云,15,,2017/6/3
乌隆他尼,多云,25,,2017/6/3
芭堤雅,小雨,26,,2017/6/3
萨达,晴,21,,2017/6/3
塔伊夫,晴,23,,2017/6/3
惠灵顿,晴,3,,2017/6/3
普吉岛,小雨,25,,2017/6/3
伯尔尼西,多云,12,,2017/6/3
杰尔宾特,多云,17,,2017/6/3
波蒂,多云,15,,2017/6/3
克拉多沃,多云转阴,,16,2017/6/3
弗拉涅,阴,14,,2017/6/3
阿里列,多云转阴,,13,2017/6/3
内戈廷,多云转阴,,16,2017/6/3
沙拉,晴,,17,2017/6/3
瓦列沃,晴,15,,2017/6/3
皮罗特,多云转阴,,13,2017/6/3
山口,多云,16,,2017/6/3
塔比拉兰,多云,27,,2017/6/3
恰尔达拉,阴,23,,2017/6/3
布泽乌,晴,20,,2017/6/3
查尔哲夫,阴,24,,2017/6/3
喀什,多云,24,,2017/6/3
浩罕,阴,26,,2017/6/3
马穆拉西,多云转阴到多云间晴,,15,2017/6/3
库切沃,多云转阴,,14,2017/6/3
代斯波托瓦茨,逐渐晴朗,,15,2017/6/3
萨兰达,多云转阴,,16,2017/6/3
雅戈丁那,逐渐晴朗,,15,2017/6/3
巴布什尼察,逐渐晴朗,,13,2017/6/3
巴尔灿,晴,,19,2017/6/3
查查克,逐渐晴朗,,14,2017/6/3
纽卡斯尔,小雨,13,,2017/6/3
布塔里塔里,多云,30,,2017/6/3
金武,多云,18,,2017/6/3
达尔甘阿塔,多云,19,,2017/6/3
吉扎克,阴,22,,2017/6/3
昆格勒,晴,18,,2017/6/3
纳曼干,阴,23,,2017/6/3
努库斯,多云,18,,2017/6/3
努拉塔,多云,20,,2017/6/3
撒马尔罕,阴,21,,2017/6/3
塔姆德,多云,21,,2017/6/3
铁尔梅兹,多云,26,,2017/6/3
科利亚,局部地区有雷雨,,24,2017/6/3
库塔伊西,多云,13,,2017/6/3
卡姆扎,多云转阴到多云间晴,,18,2017/6/3
西乌尔特,阴,11,,2017/6/3
泰拉维,多云,12,,2017/6/3
祖格迪迪,晴,13,,2017/6/3
德尔佐尔,晴,20,,2017/6/3
拉萨德基地国际机场,晴,18,,2017/6/3
塔尔图斯,晴,18,,2017/6/3
霍姆斯,晴,18,,2017/6/3
博西莱格勒,一场阵雨或雷雨,,12,2017/6/3
希德,多云转阴,,16,2017/6/3
贝拉帕兰卡,逐渐晴朗,,13,2017/6/3
拉奇,逐渐晴朗,,16,2017/6/3
博尔,多云转阴到多云间晴,,14,2017/6/3
乌日策,多云转阴,,11,2017/6/3
塞沃伊诺,多云转阴,,13,2017/6/3
巴伊纳巴什塔,多云转阴到多云间晴,,11,2017/6/3
苏尔杜利察,多云转阴到多云间晴,,13,2017/6/3
布拉采,逐渐晴朗,,14,2017/6/3
拉卡,晴,18,,2017/6/3
卡米什利,晴,17,,2017/6/3
哈马,晴,19,,2017/6/3
艾特利亚,晴,17,,2017/6/3
卡塔尼亚,晴,16,,2017/6/3
博列瓦茨,多云转阴到多云间晴,,14,2017/6/3
莫内盖蒂,多云转阴,,19,2017/6/3
费尔干纳,阴,22,,2017/6/3
博霍杜,几场强雷雨,,21,2017/6/3
姆贾尔,晴,,19,2017/6/3
布亚诺瓦茨,多云转阴到多云间晴,,13,2017/6/3
奥尔朱夫,多云,26,,2017/6/3
扎马尔,晴,19,,2017/6/3
哈杰,晴,21,,2017/6/3
伊卜,晴,21,,2017/6/3
卡马朗,晴,31,,2017/6/3
马利卜,晴,26,,2017/6/3
摩卡,晴,31,,2017/6/3
穆赫拉斯,晴,24,,2017/6/3
里雅恩,多云,35,,2017/6/3
索科特拉岛,多云,28,,2017/6/3
赛莫德,多云,32,,2017/6/3
莫罗尼,阴,25,,2017/6/3
穆龙达瓦,多云,22,,2017/6/3
塔伊兹,晴,23,,2017/6/3
卡拉库耳,多云,3,,2017/6/3
土库曼巴什,晴,15,,2017/6/3
乌尔根奇,多云,18,,2017/6/3
弗拉迪钦汉,多云转阴到多云间晴,,13,2017/6/3
利昂,阴,26,,2017/6/3
普雷舍沃,一场阵雨或雷雨,,12,2017/6/3
新库兹涅茨克,晴,3,,2017/6/3
武端,多云,27,,2017/6/3
普斯凯姆,阴,14,,2017/6/3
克久拉霍,多云,31,,2017/6/3
阿尔泰,阴,9,,2017/6/3
巴伦图伦,多云,10,,2017/6/3
巴彦敖包,阴,9,,2017/6/3
巴彦布拉格,多云,4,,2017/6/3
巴彦洪戈尔,阴,9,,2017/6/3
布尔干,阴,9,,2017/6/3
蒙特卡洛,多云转阴,,19,2017/6/3
拉康达明,多云转阴,,19,2017/6/3
摩纳哥城,多云转阴,,19,2017/6/3
瓦拉纳西,多云,28,,2017/6/3
哥里市,多云,11,,2017/6/3
塔希尔,多云,6,,2017/6/3
阿玛拉,晴,26,,2017/6/3
阿卢拉,晴,28,,2017/6/3
亚拿,晴,26,,2017/6/3
巴德拉,晴,24,,2017/6/3
伊斯法拉,阴,20,,2017/6/3
额尔德尼查干,多云,8,,2017/6/3
科布多,多云,11,,2017/6/3
胡季尔特,阴,7,,2017/6/3
呼塔格,多云,7,,2017/6/3
赛音山达,多云,15,,2017/6/3
亚罗士打,多云,25,,2017/6/3
迪瓦尼耶,晴,25,,2017/6/3
海拉,晴,23,,2017/6/3
卡尔巴拉,晴,26,,2017/6/3
彭世洛,多云,25,,2017/6/3
诗巫,阴,24,,2017/6/3
乌布,逐渐晴朗,,16,2017/6/3
芳特维耶,多云转阴,,19,2017/6/3
山打根,阴,26,,2017/6/3
阿尔拜赫雷,阴,11,,2017/6/3
马塔德,晴,11,,2017/6/3
拜伊吉,晴,25,,2017/6/3
哈奈根,晴,21,,2017/6/3
基尔库克,晴,23,,2017/6/3
库特,晴,25,,2017/6/3
纳杰夫,晴,26,,2017/6/3
纳西里耶,晴,26,,2017/6/3
拉发雷尔,晴,25,,2017/6/3
拉马迪,晴,23,,2017/6/3
鲁特拜,晴,20,,2017/6/3
撒拉丁,晴,18,,2017/6/3
董里,多云,24,,2017/6/3
马拉蒂亚,晴,17,,2017/6/3
萨马拉,阴,6,,2017/6/3
阿皮亚,小雨,27,,2017/6/3
摩苏尔,晴,24,,2017/6/3
萨马沃,晴,25,,2017/6/3
索兰,晴,13,,2017/6/3
提克里特,晴,25,,2017/6/3
图兹,晴,25,,2017/6/3
扎胡,晴,17,,2017/6/3
巴比延,晴,26,,2017/6/3
费拉卡岛,晴,27,,2017/6/3
扎耶查尔,多云转阴到多云间晴,,14,2017/6/3
丁利,晴,,18,2017/6/3
特拉维夫,晴,19,28,2017/6/3
卢什涅,多云转阴到多云间晴,,16,2017/6/3
拉科尔,多云转阴,,19,2017/6/3
伊丽莎白港,阴,14,,2017/6/3
圣米歇尔,多云转阴,,19,2017/6/3
拉廊,小雨,24,,2017/6/3
科隆,多云,27,,2017/6/3
仙台,多云,15,,2017/6/3
高松,多云,12,,2017/6/3
钏路,阴,6,,2017/6/3
松山,多云,15,,2017/6/3
长崎,多云,16,,2017/6/3
采蒂涅,逐渐晴朗,,17,2017/6/3
设拉子,晴,16,,2017/6/3
阿卜杜利,晴,25,,2017/6/3
巴尔采斯,几场阵雨和雷雨,,15,2017/6/3
甘普林,几场阵雨和雷雨,,14,2017/6/3
波热加,多云转阴,,13,2017/6/3
斗湖,阴,25,,2017/6/3
南非乔治,多云,13,,2017/6/3
西双版纳,多云,21,,2017/6/3
巴西拉,多云,,23,2017/6/3
达兰扎达嗄德,阴,17,,2017/6/3
普拉兰岛,阴,25,,2017/6/3
黄金海岸,多云,16,,2017/6/3
仰光,多云,24,,2017/6/3
科伦坡,中雨,26,,2017/6/3
达曼,晴,25,,2017/6/3
那霸,多云,25,,2017/6/3
慕仁,多云,7,,2017/6/3
舒瓦克,晴,28,,2017/6/3
普卢日内,晴转晴间多云,,9,2017/6/3
格齐拉,晴,,17,2017/6/3
加尔古尔,晴,,17,2017/6/3
戈尔米,晴,,17,2017/6/3
姆西达,晴,,17,2017/6/3
达尼洛夫格勒,逐渐晴朗,,16,2017/6/3
尼克希奇,晴转晴间多云,,12,2017/6/3
卡代,多云转阴,,19,2017/6/3
普斯科夫,阴,4,,2017/6/3
努库阿洛法,阴,26,,2017/6/3
代韦,一场阵雨或雷雨,,24,2017/6/3
托孙臣格勒,多云,3,,2017/6/3
朝格特敖包,阴,16,,2017/6/3
乌里雅苏台,多云,5,,2017/6/3
法拉赫,晴,24,,2017/6/3
乌赫塔,小雨,7,,2017/6/3
汤斯维尔,多云,17,,2017/6/3
普罗瑟派恩,晴,15,,2017/6/3
卡勒克戈尔,晴,8,,2017/6/3
瓦巴,晴,25,,2017/6/3
诺穆卡,阴,26,,2017/6/3
莫斯塔,晴,,16,2017/6/3
科托尔,云量不断变化,,15,2017/6/3
儒格尔,几场阵雨和雷雨,,14,2017/6/3
艾哈迈迪,晴,27,,2017/6/3
沃尔库塔,阴,4,,2017/6/3
塞拉莱,阴,28,,2017/6/3
罗斯托夫,阴,3,,2017/6/3
大分,多云,16,,2017/6/3
德班,晴,15,,2017/6/3
神户,多云,13,,2017/6/3
米苏拉,晴,19,,2017/6/3
海德拉巴,小雨,26,,2017/6/3
阿格达姆,晴,17,,2017/6/3
旭川,阴,7,,2017/6/3
贝拉,晴,17,,2017/6/3
马格尼托哥尔斯克,多云,6,,2017/6/3
塔里亚兰,多云,8,,2017/6/3
法扎巴德,多云,20,,2017/6/3
辛贾尔,晴,16,,2017/6/3
拉塔基亚,晴,19,,2017/6/3
加兹阿巴德,多云,27,,2017/6/3
霍斯特,多云,22,,2017/6/3
萨菲,晴,,18,2017/6/3
沙恩,几场阵雨和雷雨,,14,2017/6/3
赤塔,多云,7,,2017/6/3
阿斯旺,晴,23,,2017/6/3
古晋,阴,24,,2017/6/3
达什卡桑,多云,7,,2017/6/3
加慈尼,多云,16,,2017/6/3
拉格曼,多云,26,,2017/6/3
乌兰固木,多云,12,,2017/6/3
布拉茨克,阴,3,,2017/6/3
纳杜尔,晴,,17,2017/6/3
布德瓦,云量不断变化,,15,2017/6/3
莫伊科瓦茨,逐渐晴朗,,11,2017/6/3
阿斯塔拉,晴,19,,2017/6/3
达沃滋,多云,17,,2017/6/3
扎门乌德,多云,12,,2017/6/3
安德胡伊,晴,24,,2017/6/3
巴格兰农场,多云,22,,2017/6/3
比耶洛波列,逐渐晴朗,,10,2017/6/3
巴米扬,多云,15,,2017/6/3
海拉顿,多云,26,,2017/6/3
比尔泽布贾,晴,,17,2017/6/3
圣保罗湾城,晴,,17,2017/6/3
罗戈日内,多云转阴到多云间晴,,16,2017/6/3
蒙沙尔,晴,,18,2017/6/3
维多利亚,晴,,18,2017/6/3
普列夫利亚,逐渐晴朗,,10,2017/6/3
巴尔米拉,晴,19,,2017/6/3
巴瑟斯特,多云,-1,,2017/6/3
西昌,中雨,16,,2017/6/3
叶夫拉赫,多云,17,,2017/6/3
宁蒗,多云,11,,2017/6/3
赫拉特,晴,21,,2017/6/3
洛加尔省,多云,18,,2017/6/3
哈迪塔,晴,24,,2017/6/3
凯达贝克,多云,8,,2017/6/3
盖奥克恰伊,多云,16,,2017/6/3
伊什卡希姆,多云,13,,2017/6/3
霍罗格,多云,15,,2017/6/3
加德兹,多云,16,,2017/6/3
昆都士,多云,23,,2017/6/3
北沙浪,多云,9,,2017/6/3
辛丹德,晴,16,,2017/6/3
姆加巴,晴,,18,2017/6/3
贝拉内,逐渐晴朗,,10,2017/6/3
阿帕丁,晴间多云,,16,2017/6/3
特里森,几场阵雨和雷雨,,14,2017/6/3
毛伦,几场阵雨和雷雨,,14,2017/6/3
新克内热瓦茨,晴转晴间多云,,16,2017/6/3
圣斯特凡岛,逐渐晴朗,,17,2017/6/3
普拉夫,逐渐晴朗,,10,2017/6/3
苏博蒂察,晴间多云,,17,2017/6/3
布雷斯特,多云,9,,2017/6/3
开普吉拉多,阴,21,,2017/6/3
瓦科,多云,19,,2017/6/3
克拉克,阴,24,,2017/6/3
长白山,雷阵雨,7,,2017/6/3
巴尔达,晴,18,,2017/6/3
占贾,多云,16,,2017/6/3
杰姆克,晴,4,,2017/6/3
拉钦,晴,11,,2017/6/3
库利亚布,多云,22,,2017/6/3
曼提,阴,11,,2017/6/3
萨罗比,多云,23,,2017/6/3
列里克,晴,11,,2017/6/3
涅夫捷恰拉,多云,19,,2017/6/3
库尔干秋别,多云,23,,2017/6/3
沙里院,晴,10,,2017/6/3
提林库特,晴,20,,2017/6/3
扎兰季,晴,25,,2017/6/3
科瓦契察,晴间多云,,16,2017/6/3
南沙浪,多云,11,,2017/6/3
马尔萨斯卡拉,晴,,17,2017/6/3
哈姆伦,晴,,17,2017/6/3
潘切沃,逐渐晴朗,,17,2017/6/3
康斯坦丁,晴,7,,2017/6/3
阿普拉惠,多云,,23,2017/6/3
阿尔卜,晴,,18,2017/6/3
连科兰,晴,19,,2017/6/3
加里宁格勒,阴,10,,2017/6/3
华欣,多云,26,,2017/6/3
凯瑟琳,多云,20,,2017/6/3
库努纳拉,多云,21,,2017/6/3
金浦,晴,12,,2017/6/3
岘港,多云,28,,2017/6/3
瓦瓦乌,阴,26,,2017/6/3
比利亚苏瓦尔,晴,20,,2017/6/3
古巴,多云,12,,2017/6/3
丘尔达米尔,晴,17,,2017/6/3
明盖恰乌尔,晴,17,,2017/6/3
纳夫塔兰,晴,18,,2017/6/3
乌古斯,晴,13,,2017/6/3
萨利亚纳,多云,19,,2017/6/3
沙姆基尔,晴,15,,2017/6/3
苏圣玛丽,小雨,10,,2017/6/3
布巴内斯瓦尔,多云,29,,2017/6/3
吉隆坡,小雨,25,,2017/6/3
宫崎,多云,18,,2017/6/3
函馆,阴,16,,2017/6/3
梅格里,晴,17,,2017/6/3
纳希切万,晴,14,,2017/6/3
加拉,晴,,17,2017/6/3
凯尔切姆,晴,,18,2017/6/3
新海尔采格,逐渐晴朗,,16,2017/6/3
奥尔杜巴德,晴,16,,2017/6/3
霍恩岛,多云,26,,2017/6/3
舒沙,晴,10,,2017/6/3
艾因西莱姆,晴,,17,2017/6/3
马尔萨什洛克,晴,,17,2017/6/3
利亚,晴,,17,2017/6/3
民都鲁,阴,24,,2017/6/3
基尔科普,晴,,18,2017/6/3
阳德,晴,7,,2017/6/3
圣朱利安斯,晴,,17,2017/6/3
森格莱阿,晴,,17,2017/6/3
弗古拉,晴,,17,2017/6/3
阿塔尔德,晴,,17,2017/6/3
新义州,晴,11,,2017/6/3
埃申,几场阵雨和雷雨,,15,2017/6/3
新浦,多云,13,,2017/6/3
先锋,多云,10,,2017/6/3
伦敦,多云转阴到多云间晴,,27,2017/6/4
库雷萨雷,阴,8,,2017/6/3
圭城,晴,9,,2017/6/3
塔洛岛,多云,28,,2017/6/3
夏奇,晴,13,,2017/6/3
纳沙尔,晴,,19,2017/6/3
长津,多云,5,,2017/6/3
梅利哈,晴,,19,2017/6/3
保拉,晴,,17,2017/6/3
马尔萨,晴,,17,2017/6/3
鲁马,多云转阴,,16,2017/6/3
扎巴尔,晴,,17,2017/6/3
基拉基拉,小雨,27,,2017/6/3
江界,多云,6,,2017/6/3
索里,多云,,24,2017/6/3
姆迪纳,晴,,18,2017/6/3
伊里格,多云转阴,,16,2017/6/3
克鲁帕尼,多云转阴,,14,2017/6/3
圣劳伦斯,晴,,18,2017/6/3
马杜赖,阴,26,,2017/6/3
海州,晴,13,,2017/6/3
柔佛州,多云,26,31,2017/6/3
乌伊哈岛,雨和雷雨,,24,2017/6/4
南特,晴,13,26,2017/6/3
拉赫季,雷阵雨,28,42,2017/6/3
日惹,雷阵雨,21,31,2017/6/3
科梅,几场阵雨和雷雨,,25,2017/6/3
科钦,小雨,10,20,2017/6/3
康迪,多云,,24,2017/6/3
纳蒂廷古,多云,,22,2017/6/3
萨凯泰,可能有阵雨,,25,2017/6/3
棉兰,雷阵雨,24,34,2017/6/3
下诺夫哥罗德,小雨,3,11,2017/6/3
乌法,小雨,6,16,2017/6/3
杜布罗夫尼克,晴,18,25,2017/6/3
哈伊马角,晴,26,41,2017/6/3
奥尔堡,小雨,12,20,2017/6/3
斯普利特,雷阵雨,19,26,2017/6/3
拉夫哈,晴,21,36,2017/6/3
明古鲁,多云,24,31,2017/6/3
海防,多云,29,38,2017/6/3
伊贝雷,多云,,22,2017/6/3
科托努,零星降雨和雷雨,,25,2017/6/3
朱古,多云,,22,2017/6/3
塞巴纳,多云,,25,2017/6/3
费莱托,雨和雷雨,,25,2017/6/4
梅赛德斯,阴,9,,2017/6/3
波贝,多云转阴,,24,2017/6/3
阿波美卡拉维,零星降雨和雷雨,,25,2017/6/3
凯图,多云转阴,,24,2017/6/3
阿蒂埃梅,一场阵雨或雷雨,,24,2017/6/3
博登,多云,2,,2017/6/3
伊瓜苏瀑布,小雨,17,,2017/6/3
芹苴,雷阵雨,25,34,2017/6/3
蒙巴萨,小雨,23,29,2017/6/3
阿波美,多云,,23,2017/6/3
巴尼夸拉,多云,,24,2017/6/3
洛科萨,一场阵雨或雷雨,,24,2017/6/3
皮拉,多云,,23,2017/6/3
邦泰,多云,,23,2017/6/3
佛罗伦萨,多云,19,,2017/6/3
孔帕,逐渐晴朗,,27,2017/6/3
巴古,多云,,24,2017/6/3
帕德博恩,晴,17,26,2017/6/3
白沙瓦,晴,28,45,2017/6/3
斯科普里,雷阵雨,15,27,2017/6/3
桑给巴尔,小雨,25,29,2017/6/3
布哈拉,多云,24,39,2017/6/3
芽庄,雷阵雨,26,34,2017/6/3
阿巴坎,晴,6,20,2017/6/3
巴士拉,晴,25,40,2017/6/3
泽尼察,雷阵雨,14,24,2017/6/3
桑斯基莫斯特,雷阵雨,15,28,2017/6/3
萨拉热窝,雷阵雨,12,23,2017/6/3
科托尔城,雷阵雨,15,26,2017/6/3
索科廷吉,多云,,24,2017/6/3
阿丰,多云,,23,2017/6/3
格拉祖埃,多云,,23,2017/6/3
多博托塔,多云转阴,,23,2017/6/3
布朗萨布隆,阴,3,,2017/6/3
蒙罗维亚,雷阵雨,25,31,2017/6/3
地拉那,多云,18,29,2017/6/3
斯库台,多云,17,28,2017/6/3
久姆里,晴,6,21,2017/6/3
埃里温,晴,12,25,2017/6/3
布尔奇科,多云,16,30,2017/6/3
帕拉库,多云,,23,2017/6/3
戈巴达,多云,,23,2017/6/3
古莫里,多云,,24,2017/6/3
埃德森,多云,7,,2017/6/3
奥尼博洛,多云转阴,,24,2017/6/3
科纳克里,大雨,25,32,2017/6/3
莫斯塔尔,雷阵雨,15,29,2017/6/3
塔克洛班,多云,25,30,2017/6/4
萨韦,多云转阴,,23,2017/6/3
波德戈里察,雷阵雨,16,28,2017/6/3
蒂瓦特,晴,15,26,2017/6/3
希拉,晴,22,40,2017/6/3
巴古拜,晴,24,39,2017/6/3
亚姆村,晴,20,27,2017/6/3
莫茨金村,晴,20,27,2017/6/3
里雄来锡安,晴,19,29,2017/6/3
弗雷德里克顿,小雨,7,16,2017/6/3
利邦泰,多云,,24,2017/6/3
雷霍沃特,晴,19,29,2017/6/3
霍隆,晴,19,28,2017/6/3
海法,晴,20,27,2017/6/3
西班牙港,多云,27,,2017/6/3
登巴萨,雷阵雨,24,30,2017/6/3
海尔兹利亚,晴,20,28,2017/6/3
措瓦,晴,16,29,2017/6/3
贝内贝拉克,晴,20,28,2017/6/3
贝尔谢巴,晴,16,33,2017/6/3
阿塔村,晴,19,27,2017/6/3
阿克里,晴,21,34,2017/6/3
劳埃德明斯特,多云,14,,2017/6/3
富尔格卢斯,晴,14,31,2017/6/3
伊德利卜,晴,18,32,2017/6/3
丹佛,晴,9,,2017/6/3
卢布尔雅那,多云,12,,2017/6/3
安康,暴雨,16,19,2017/6/4
塔拉哈西,阴,24,,2017/6/3
布雷西亚,多云,19,,2017/6/3
图巴,局部地区有雷雨,,24,2017/6/3
坎佩切,小雨,25,,2017/6/3
罗斯环礁,多云转阴到多云间晴,,26,2017/6/3
桑萨莱,逐渐晴朗,,26,2017/6/3
巴斯特尔,多云,26,,2017/6/3
萨拉曼卡,阴,11,,2017/6/3
巨港,多云,24,32,2017/6/3
克利夫兰,阴,19,,2017/6/3
辛巴亚,局部地区有雷雨,,21,2017/6/3
巴朗杜古,云量增加,,22,2017/6/3
巴南科罗,几场雷雨,,21,2017/6/3
基多,暴雨,14,,2017/6/3
蒙得维的亚,多云转阴到多云间晴,,9,2017/6/3
延吉萨,局部地区有雷雨,,25,2017/6/3
涅努亚,一场大雷雨,,22,2017/6/3
塔内内,多云,,24,2017/6/3
安纳巴,晴,16,27,2017/6/3
盖尔达耶,晴,24,37,2017/6/3
法拉纳,一场大雷雨,,22,2017/6/3
比桑杜古,几场强雷雨,,21,2017/6/3
苏黎世,中雨,17,,2017/6/3
涅姆,多云,19,,2017/6/3
杜阿拉,大雨,24,31,2017/6/3
布莱雷,多云,,24,2017/6/3
科巴拉,几场雷雨,,21,2017/6/3
桑代尼亚,一场大雷雨,,22,2017/6/3
科伦泰,一场大雷雨,,21,2017/6/3
卡萨布兰卡,多云,20,25,2017/6/3
拉各斯,雷阵雨,24,32,2017/6/3
达喀尔,晴,23,28,2017/6/3
卡塔库尔干,多云,22,38,2017/6/3
海雷马科诺,一场大雷雨,,22,2017/6/3
纳法吉,几场强雷雨,,23,2017/6/3
阿尔及尔,晴,20,25,2017/6/3
阿尔马雷克,多云,21,35,2017/6/3
鲁斯塔维,晴,14,28,2017/6/3
巴尼扬,云量增加,,22,2017/6/3
班珠尔,多云,22,,2017/6/3
穆盖贝亚,几场雷雨,,21,2017/6/3
博凯,多云,,24,2017/6/3
库奇斯,阴,15,,2017/6/3
卡斯特里,可能有阵雨,,27,2017/6/3
法拉巴纳,几场雷雨,,21,2017/6/3
科帕奥尼克,多云,8,,2017/6/3
希马尼,阴,25,,2017/6/3
辛巴雷亚,一场大雷雨,,23,2017/6/3
康贾法拉,多云转阴,,24,2017/6/3
贝塔亚,一场大雷雨,,24,2017/6/3
通东,局部地区有雷雨,,24,2017/6/3
芒比亚,一场大雷雨,,23,2017/6/3
马木,云量增加,,21,2017/6/3
朴次茅斯,一至两场短时阵雨,,27,2017/6/3
孔库雷,低云,,22,2017/6/3
卡姆萨尔,多云,,25,2017/6/3
贝莱亚,云量增加,,22,2017/6/3
宾杜古,云量增加,,22,2017/6/3
科巴,一场大雷雨,,21,2017/6/3
桑戈亚,一场大雷雨,,22,2017/6/3
弗里敦,大雨,26,32,2017/6/3
圣多美,多云,26,,2017/6/3
林林,局部地区有雷雨,,24,2017/6/3
图尼菲利,局部地区有雷雨,,25,2017/6/3
宾蒂莫迪亚,多云,,25,2017/6/3
加马拉,一场大雷雨,,22,2017/6/3
达拉巴,几场强雷雨,,23,2017/6/3
姜卡纳,几场强雷雨,,23,2017/6/3
莫洛塔,一场大雷雨,,21,2017/6/3
卡胡尔,晴,,14,2017/6/4
萨拉亚,局部地区有雷雨,,25,2017/6/3
林桑,一场大雷雨,,21,2017/6/3
桑盖亚,多云,,25,2017/6/3
邦巴亚,局部地区有雷雨,,22,2017/6/3
本杜古,一场大雷雨,,21,2017/6/3
卡萨,云量增加,,23,2017/6/3
卡拉菲利亚,几场雷雨,,22,2017/6/3
凯索纳,几场强雷雨,,22,2017/6/3
索巴亚,一场大雷雨,,23,2017/6/3
弗里吉亚贝,一场大雷雨,,21,2017/6/3
福西库雷,一场大雷雨,,23,2017/6/3
邦科,云量增加,,21,2017/6/3
孔巴河,一场大雷雨,,23,2017/6/3
廷博,云量增加,,21,2017/6/3
孔丁代,局部地区有雷雨,,25,2017/6/3
桑加雷亚,一场大雷雨,,25,2017/6/3
马穆鲁杜古,几场雷雨,,21,2017/6/3
金迪亚,一场大雷雨,,21,2017/6/3
邦巴富加,云量增加,,23,2017/6/3
史密瑟斯,多云,3,,2017/6/3
萨马亚,一场大雷雨,,24,2017/6/3
卡腊拉,几场雷雨,,22,2017/6/3
约穆,几场雷雨,,22,2017/6/3
巴尼,多云转阴,,23,2017/6/3
廷蒂乌莱,几场强雷雨,,23,2017/6/3
拉贝,多云,,19,2017/6/3
格尔夫波特,阴,24,,2017/6/3
邦古亚,一场大雷雨,,23,2017/6/3
努埃维塔斯,阴,26,,2017/6/3
康康,一场大雷雨,,25,2017/6/3
马科诺,几场强雷雨,,23,2017/6/3
当塔雷,云量增加,,21,2017/6/3
科伦,云量增加,,21,2017/6/3
科恰班巴,晴,12,,2017/6/3
锡塔科托,云量增加,,23,2017/6/3
圣保罗区,可能有阵雨,,26,2017/6/3
雷东达岛,可能有阵雨,,26,2017/6/3
圣卡洛斯,阴,24,,2017/6/3
奥科塔尔,阴,22,,2017/6/3
马莱亚,局部地区有雷雨,,24,2017/6/3
孔邦,几场强雷雨,,23,2017/6/3
芒西拉莫里巴亚,云量增加,,22,2017/6/3
波雷达卡,多云转阴,,18,2017/6/3
苏盖塔,一场大雷雨,,21,2017/6/3
锡吉里,局部地区有雷雨,,24,2017/6/3
索亚,云量增加,,21,2017/6/3
布里卡马,云量增加,,23,2017/6/3
